,cancer_type,Full-data acc.,Full-data comp. time,PCA components,PCA calc. time,PCA explained variance,PCA acc.,Precision,Recall,F1Score
130,UVM,1.0,0.2819797992706299,20,0.005170166492462158,0.6310688225428184,1.0,[1. 1.],[1. 1.],[1. 1.]
131,CHOL,0.9,0.3040122389793396,20,0.008453845977783203,0.6677286823243873,1.0,[1. 1.],[1. 1.],[1. 1.]
132,BRCA,0.974025974025974,2.333420217037201,50,0.028438985347747803,0.5363237147234597,0.987012987012987,[0.97321429 1.        ],[1.         0.97540984],[0.98642534 0.98755187]
133,LUAD,1.0,1.358781099319458,50,0.027127742767333984,0.571653087448381,0.972972972972973,[1.   0.95],[0.94444444 1.        ],[0.97142857 0.97435897]
134,DLBC,1.0,0.30263620615005493,50,0.0064664483070373535,0.9065622430079542,1.0,[1. 1.],[1. 1.],[1. 1.]
135,UCEC,0.9724770642201835,1.315453052520752,50,0.016892671585083008,0.5750156805337066,0.9357798165137615,[0.89655172 0.98039216],[0.98113208 0.89285714],[0.93693694 0.93457944]
136,SKCM,0.9782608695652174,1.0407958030700684,50,0.015574753284454346,0.5747853226888352,0.9782608695652174,[1.         0.95918367],[0.95555556 1.        ],[0.97727273 0.97916667]
137,PRAD,1.0,0.8223607540130615,50,0.01655256748199463,0.6087065758842392,1.0,[1. 1.],[1. 1.],[1. 1.]
138,HNSC,0.9908256880733946,1.2400898933410645,50,0.015319108963012695,0.5922100333197783,0.963302752293578,[0.96226415 0.96428571],[0.96226415 0.96428571],[0.96226415 0.96428571]
139,KIRP,0.9384615384615385,0.6079989671707153,50,0.022170841693878174,0.630091886476202,0.9384615384615385,[0.9375     0.93939394],[0.9375     0.93939394],[0.9375     0.93939394]
140,CESC,0.9344262295081968,0.8379678130149841,50,0.01583772897720337,0.5970687990755561,0.9344262295081968,[0.93333333 0.93548387],[0.93333333 0.93548387],[0.93333333 0.93548387]
141,THCA,1.0,0.7818760871887207,50,0.013269305229187012,0.6241420987209823,1.0,[1. 1.],[1. 1.],[1. 1.]
142,KIRC,0.9743589743589743,1.1922324299812317,50,0.01708817481994629,0.613402281027414,0.9914529914529915,[1.         0.98360656],[0.98245614 1.        ],[0.99115044 0.99173554]
143,STAD,0.9886363636363636,1.0981654524803162,50,0.013272762298583984,0.575120676687567,0.9431818181818182,[0.95238095 0.93478261],[0.93023256 0.95555556],[0.94117647 0.94505495]
144,COAD,0.9479166666666666,1.1847846508026123,50,0.021129727363586426,0.6150933211188601,0.9479166666666666,[0.95652174 0.94      ],[0.93617021 0.95918367],[0.94623656 0.94949495]
145,READ,0.9117647058823529,0.5934070348739624,50,0.010116755962371826,0.6916061102979507,0.8823529411764706,[0.84210526 0.93333333],[0.94117647 0.82352941],[0.88888889 0.875     ]
146,LGG,0.970873786407767,0.7895686626434326,50,0.01623094081878662,0.6311755258613327,0.9611650485436893,[0.97916667 0.94545455],[0.94       0.98113208],[0.95918367 0.96296296]
147,MESO,1.0,0.3044202923774719,50,0.006908416748046875,0.7627466829490472,1.0,[1. 1.],[1. 1.],[1. 1.]
148,LAML,1.0,0.28800201416015625,50,0.005081295967102051,0.7010792602923417,1.0,[1. 1.],[1. 1.],[1. 1.]
149,BLCA,0.8928571428571429,0.9431321024894714,50,0.016140282154083252,0.5608355280771516,0.9166666666666666,[0.88636364 0.95      ],[0.95121951 0.88372093],[0.91764706 0.91566265]
150,OV,1.0,0.539394736289978,50,0.010112166404724121,0.5691845184878057,1.0,[1. 1.],[1. 1.],[1. 1.]
151,LUSC,0.9345794392523364,1.1730555891990662,50,0.016648292541503906,0.559684674414009,0.9532710280373832,[0.94339623 0.96296296],[0.96153846 0.94545455],[0.95238095 0.95412844]
152,ACC,1.0,0.3013879656791687,50,0.007525503635406494,0.767676078983953,1.0,[1. 1.],[1. 1.],[1. 1.]
153,THYM,1.0,0.34688931703567505,50,0.007656455039978027,0.7681679894733012,1.0,[1. 1.],[1. 1.],[1. 1.]
154,ESCA,0.9736842105263158,0.6333605647087097,50,0.0145796537399292,0.633425805505092,0.9736842105263158,[0.95 1.  ],[1.         0.94736842],[0.97435897 0.97297297]
155,PAAD,0.9722222222222222,0.420299768447876,50,0.0104142427444458,0.6878565379674526,0.9722222222222222,[0.94736842 1.        ],[1.         0.94444444],[0.97297297 0.97142857]
156,LIHC,0.9878048780487805,0.5623579025268555,50,0.015733957290649414,0.6017131153878559,0.9878048780487805,[0.97560976 1.        ],[1.         0.97619048],[0.98765432 0.98795181]
157,SARC,0.9803921568627451,0.6509194374084473,50,0.01375049352645874,0.5901807038589031,0.9607843137254902,[1.         0.92857143],[0.92 1.  ],[0.95833333 0.96296296]
158,GBM,1.0,0.3878227472305298,50,0.010160505771636963,0.6906886375075278,1.0,[1. 1.],[1. 1.],[1. 1.]
159,TGCT,1.0,0.48034632205963135,50,0.007373929023742676,0.7241695319436914,1.0,[1. 1.],[1. 1.],[1. 1.]
160,KICH,0.8,0.30285078287124634,50,0.0097770094871521,0.788289150236199,0.9,[0.9 0.9],[0.9 0.9],[0.9 0.9]
161,PCPG,1.0,0.3868502378463745,50,0.009911656379699707,0.6759424062470102,0.9736842105263158,[0.95 1.  ],[1.         0.94736842],[0.97435897 0.97297297]
162,UCS,0.8333333333333334,0.2817879915237427,50,0.006712019443511963,0.8126080116583764,0.9166666666666666,[1.         0.85714286],[0.83333333 1.        ],[0.90909091 0.92307692]
163,UVM,1.0,0.2967393398284912,50,0.00576549768447876,0.8314883832759543,1.0,[1. 1.],[1. 1.],[1. 1.]
164,CHOL,0.8,0.34210920333862305,50,0.007494509220123291,0.9106125311058222,0.8,[1.         0.71428571],[0.6 1. ],[0.75       0.83333333]
165,BRCA,0.974025974025974,2.085446059703827,100,0.024482667446136475,0.6240139056900725,0.987012987012987,[0.98181818 0.99173554],[0.99082569 0.98360656],[0.98630137 0.98765432]
166,LUAD,0.972972972972973,1.1877812147140503,100,0.02011173963546753,0.6782945527793526,0.963963963963964,[0.98076923 0.94915254],[0.94444444 0.98245614],[0.96226415 0.96551724]
